date,skew,put_index
1990-01-02,126.0900,
1990-01-03,123.3400,
1990-01-04,122.6200,
1990-01-05,121.2700,
1990-01-08,124.1200,
1990-01-09,119.8200,
1990-01-10,120.8200,
1990-01-11,107.4800,
1990-01-12,116.7800,
1990-01-15,116.1600,
1990-01-16,120.6200,
1990-01-17,123.0300,
1990-01-18,131.1400,
1990-01-19,129.3100,
1990-01-22,118.9500,
1990-01-23,117.9400,
1990-01-24,128.7500,
1990-01-25,124.3300,
1990-01-26,122.7600,
1990-01-29,124.6000,
1990-01-30,120.9100,
1990-01-31,128.2200,
1990-02-01,129.5300,
1990-02-02,132.5300,
1990-02-05,121.2200,
1990-02-06,120.3000,
1990-02-07,123.3500,
1990-02-08,124.8700,
1990-02-09,126.0600,
1990-02-12,126.9900,
1990-02-13,133.0600,
1990-02-14,131.5500,
1990-02-15,139.0700,
1990-02-16,136.6100,
1990-02-20,126.4700,
1990-02-21,129.1700,
1990-02-22,124.8000,
1990-02-23,125.8200,
1990-02-26,130.6900,
1990-02-27,131.4500,
1990-02-28,123.1000,
1990-03-01,123.9600,
1990-03-02,126.4400,
1990-03-05,124.2400,
1990-03-06,124.8600,
1990-03-07,121.0800,
1990-03-08,124.4600,
1990-03-09,125.6000,
1990-03-12,129.6900,
1990-03-13,128.0700,
1990-03-14,131.8200,
1990-03-15,133.0200,
1990-03-16,136.7300,
1990-03-19,138.6900,
1990-03-20,134.2000,
1990-03-21,132.5800,
1990-03-22,129.8000,
1990-03-23,130.7600,
1990-03-26,129.9000,
1990-03-27,135.3300,
1990-03-28,133.5100,
1990-03-29,131.2000,
1990-03-30,111.3300,
1990-04-02,126.4600,
1990-04-03,117.6300,
1990-04-04,114.1300,
1990-04-05,114.4200,
1990-04-06,114.9100,
1990-04-09,117.6000,
1990-04-10,119.0900,
1990-04-11,108.8700,
1990-04-12,121.5200,
1990-04-16,126.0500,
1990-04-17,131.2400,
1990-04-18,122.7400,
1990-04-19,120.7700,
1990-04-20,120.8800,
1990-04-23,120.0300,
1990-04-24,124.5600,
1990-04-25,127.0300,
1990-04-26,124.5100,
1990-04-27,118.8400,
1990-04-30,110.4900,
1990-05-01,111.9900,
1990-05-02,128.4900,
1990-05-03,114.2700,
1990-05-04,116.3500,
1990-05-07,117.2200,
1990-05-08,117.8300,
1990-05-09,117.2700,
1990-05-10,119.5000,
1990-05-11,119.5100,
1990-05-14,123.1200,
1990-05-15,125.1000,
1990-05-16,125.7000,
1990-05-17,121.9500,
1990-05-18,124.6800,
1990-05-21,127.3500,
1990-05-22,124.8800,
1990-05-23,118.8000,
1990-05-24,117.3000,
1990-05-25,111.9300,
1990-05-29,122.1800,
1990-05-30,119.8800,
1990-05-31,120.2100,
1990-06-01,119.3300,
1990-06-04,122.7800,
1990-06-05,121.2200,
1990-06-06,121.4500,
1990-06-07,123.9900,
1990-06-08,122.1300,
1990-06-11,132.1400,
1990-06-12,132.6100,
1990-06-13,131.5100,
1990-06-14,132.4500,
1990-06-15,138.3100,
1990-06-18,133.3100,
1990-06-19,136.2100,
1990-06-20,139.1200,
1990-06-21,142.5700,
1990-06-22,139.6200,
1990-06-25,106.8000,
1990-06-26,104.6500,
1990-06-27,106.5400,
1990-06-28,107.4200,
1990-06-29,107.3100,
1990-07-02,108.1600,
1990-07-03,107.6200,
1990-07-05,105.0800,
1990-07-06,107.2700,
1990-07-09,106.5000,
1990-07-10,105.1900,
1990-07-11,107.8400,
1990-07-12,109.7100,
1990-07-13,109.3300,
1990-07-16,108.6500,
1990-07-17,107.6500,
1990-07-18,133.7500,
1990-07-19,137.9400,
1990-07-20,109.7100,
1990-07-23,127.1300,
1990-07-24,127.6100,
1990-07-25,130.8500,
1990-07-26,131.0000,
1990-07-27,127.6200,
1990-07-30,132.4400,
1990-07-31,132.0700,
1990-08-01,131.0100,
1990-08-02,110.0800,
1990-08-03,119.6000,
1990-08-06,114.6500,
1990-08-07,119.0900,
1990-08-08,125.1900,
1990-08-09,128.9000,
1990-08-10,123.0100,
1990-08-13,119.3400,
1990-08-14,120.5200,
1990-08-15,120.0400,
1990-08-16,117.1800,
1990-08-17,117.3600,
1990-08-20,118.3600,
1990-08-21,114.5200,
1990-08-22,112.4900,
1990-08-23,110.9200,
1990-08-24,113.4200,
1990-08-27,117.6900,
1990-08-28,117.9000,
1990-08-29,118.6300,
1990-08-30,116.7400,
1990-08-31,119.4800,
1990-09-04,119.9200,
1990-09-05,119.8800,
1990-09-06,116.9800,
1990-09-07,117.8200,
1990-09-10,118.7700,
1990-09-11,119.1600,
1990-09-12,118.2800,
1990-09-13,116.9100,
1990-09-14,119.0300,
1990-09-17,116.8000,
1990-09-18,117.4900,
1990-09-19,116.4800,
1990-09-20,115.8800,
1990-09-21,118.2200,
1990-09-24,111.3000,
1990-09-25,115.7200,
1990-09-26,114.7600,
1990-09-27,112.8500,
1990-09-28,113.2400,
1990-10-01,116.5600,
1990-10-02,116.8100,
1990-10-03,115.6000,
1990-10-04,116.1600,
1990-10-05,117.2300,
1990-10-08,116.4900,
1990-10-09,112.8000,
1990-10-10,110.6500,
1990-10-11,109.7800,
1990-10-12,111.9200,
1990-10-15,112.3500,
1990-10-16,111.0700,
1990-10-17,111.7400,
1990-10-18,114.6500,
1990-10-19,117.5600,
1990-10-22,116.1100,
1990-10-23,115.1300,
1990-10-24,116.1700,
1990-10-25,114.7500,
1990-10-26,111.7900,
1990-10-29,112.3500,
1990-10-30,113.4200,
1990-10-31,113.9700,
1990-11-01,112.5300,
1990-11-02,115.2900,
1990-11-05,114.4800,
1990-11-06,114.4700,
1990-11-07,114.5900,
1990-11-08,114.6600,
1990-11-09,117.1100,
1990-11-12,115.5700,
1990-11-13,116.1000,
1990-11-14,117.0200,
1990-11-15,116.9700,
1990-11-16,119.9700,
1990-11-19,121.2800,
1990-11-20,118.2800,
1990-11-21,119.2800,
1990-11-23,116.3700,
1990-11-26,118.3300,
1990-11-27,119.4500,
1990-11-28,120.1500,
1990-11-29,117.7100,
1990-11-30,122.6500,
1990-12-03,122.2400,
1990-12-04,124.3700,
1990-12-05,127.3800,
1990-12-06,126.3100,
1990-12-07,124.4300,
1990-12-10,125.1000,
1990-12-11,125.9800,
1990-12-12,128.5700,
1990-12-13,122.5700,
1990-12-14,122.1400,
1990-12-17,120.4500,
1990-12-18,123.9900,
1990-12-19,126.3100,
1990-12-20,122.3500,
1990-12-21,129.6100,
1990-12-24,121.2900,
1990-12-26,127.3000,
1990-12-27,124.7900,
1990-12-28,127.5900,
1990-12-31,126.5700,
1991-01-02,121.3500,
1991-01-03,122.7600,
1991-01-04,121.9500,
1991-01-07,118.1200,
1991-01-08,116.7600,
1991-01-09,114.2600,
1991-01-10,117.2800,
1991-01-11,114.5800,
1991-01-14,112.3800,
1991-01-15,112.7100,
