n,cagr_median,cagr_mean,cagr_p5,tw_p5,tw_median,mdd_p95,p_ruin,strat,window_years
800,0.11648750184615786,0.11577182057802334,-0.03921699286802755,0.8187284774206919,1.7347507874514985,0.5325264560291919,0.0,[A] 1x only (beta),5
800,0.031952064306610906,0.0327174021214138,0.018111720507672215,1.0938854643873452,1.1702759279582726,1.210223475988102e-07,0.0,[B] cash only (rf),5
800,0.053768200233292096,0.05318786797864099,0.024430913258212016,1.1282522493686464,1.2993013233569872,0.1167406876431626,0.0,[C] puts-only 5%OTM r0.5,5
800,0.13439982100940007,0.1333212986095414,-0.04990194980526272,0.7742074592668488,1.8784225359618176,0.5976160358219359,0.0,[D] COMBO 1x+5%OTM r0.5,5
800,0.07552608349294321,0.0727987316816759,0.01652633331815042,1.085396201123446,1.4390740336001082,0.2348645865485709,0.0,[E] puts-only 5%OTM r1.0,5
800,0.1553947380375469,0.15265737828370113,-0.06478386747763776,0.6293428637481349,2.021951598258337,0.7036429436800604,0.01875,[F] COMBO 1x+5%OTM r1.0,5
800,0.10132444054389045,0.10192372254055393,0.026567728247359212,1.6894764756221534,6.891369732851371,0.6973938427941776,0.0,[A] 1x only (beta),20
800,0.03228581283238219,0.0325032477847836,0.02500160561650865,1.6386677883339058,1.8879877704186163,1.4563391043798113e-05,0.0,[B] cash only (rf),20
800,0.05228554172760336,0.05182237957375321,0.03677125810604084,2.059012482180879,2.7712267911247315,0.16608777614196601,0.0,[C] puts-only 5%OTM r0.5,20
800,0.11671770084065247,0.11689758642721458,0.02904261851576099,1.7728306633898976,9.096372235526616,0.7666950378798169,0.0,[D] COMBO 1x+5%OTM r0.5,20
800,0.07095520913496056,0.07000995305466141,0.04096292173377737,2.232057117244035,3.939364823443702,0.3325772143472616,0.0,[E] puts-only 5%OTM r1.0,20
800,0.1329656935537039,0.13185847359875424,0.02411618342096345,0.0,11.354604424610283,1.0,0.0575,[F] COMBO 1x+5%OTM r1.0,20
