pool,margin,strat,cagr_median,tw_median,tw_p5,mdd_p95,p_ruin
rf,0.15,sell ATM r1.0,0.21623395382386001,50.12064562071561,5.263291537700807,0.7488122165555553,0.00125
rf,0.15,sell 5%OTM r1.0,0.15598085513431525,18.15569990963045,3.2257565813798923,0.6828126885342339,0.0
rf,0.25,sell ATM r1.0,0.2252342921943652,25.908630184114635,0.0,1.0,0.3675
rf,0.25,sell 5%OTM r1.0,0.1623099087452078,13.743603389754714,0.0,1.0,0.24125
rf,0.15,naked 1x,0.11517781388422643,8.848762770332037,2.36373868415048,0.5739388761642814,0.0
all,0.15,sell ATM r1.0,0.19148190365879725,28.567559843795127,0.0,1.0,0.0725
all,0.15,sell 5%OTM r1.0,0.13823291794672998,12.184377153843158,0.0,1.0,0.0575
all,0.25,sell ATM r1.0,0.2168665485392377,0.0,0.0,1.0,0.5525
all,0.25,sell 5%OTM r1.0,0.15323725525418008,5.998215875075392,0.0,1.0,0.39375
all,0.15,naked 1x,0.10076838865106363,6.8221264066604075,1.7062811609591673,0.700682891763704,0.0
