n,cagr_median,cagr_mean,cagr_p5,tw_p5,tw_median,mdd_p95,p_ruin,pool,strat,ratio,window_years
800,0.11795215481885679,0.11701805146347583,-0.009690008845738457,0.9524862823159588,1.7461556141618129,0.4558421150491925,0.0,rf,naked 1x,0.0,5
800,0.1441175190630919,0.142919146410089,-0.008972384985683977,0.9559442829405818,1.9602580403267953,0.49388979527561117,0.0,rf,sell ATM r0.25,0.25,5
800,0.17086130358520868,0.16849944062525918,-0.00877094678486553,0.9569153658133268,2.200292815897578,0.5362071947952255,0.0,rf,sell ATM r0.5,0.5,5
800,0.19717404723486276,0.19369303518339323,-0.013358398705518758,0.9349774021690458,2.458855431670089,0.5767476235914661,0.0,rf,sell ATM r0.75,0.75,5
800,0.2197959235326289,0.2183724860240745,-0.01389641775235622,0.9324315010992552,2.700081220858986,0.6194301261284161,0.0,rf,sell ATM r1.0,1.0,5
800,0.11517781388422643,0.11459601614006588,0.04395060033112269,2.36373868415048,8.848762770332037,0.5739388761642814,0.0,rf,naked 1x,0.0,20
800,0.14088471873374175,0.14024268641861068,0.0595579696633762,3.1805165699306888,13.958388700164468,0.6090494010849635,0.0,rf,sell ATM r0.25,0.25,20
800,0.16690370523189801,0.1653468775294656,0.07002456576977013,3.871462127672764,21.912927274529387,0.648274276071346,0.0,rf,sell ATM r0.5,0.5,20
800,0.1922725319914893,0.1899146715078511,0.07955206129780441,4.622576006565535,33.690760797960465,0.7008425115790716,0.0,rf,sell ATM r0.75,0.75,20
800,0.21623395382386001,0.2141264050219494,0.08833113740694584,5.263291537700807,50.12064562071561,0.7488122165555553,0.00125,rf,sell ATM r1.0,1.0,20
800,0.11576691123806027,0.11548040810631922,-0.040158398898775316,0.8147233444317519,1.7291586725604824,0.540188779045052,0.0,all,naked 1x,0.0,5
800,0.14357448112758708,0.14155361117026463,-0.04184546159235454,0.8075897837881271,1.9556116646547008,0.5782544245439958,0.0,all,sell ATM r0.25,0.25,5
800,0.16707829703777233,0.16674143722354628,-0.04495971529011262,0.7945525626158242,2.1649808137758146,0.6315398672034369,0.0,all,sell ATM r0.5,0.5,5
800,0.19604428356476222,0.19246137642053462,-0.05536522532146899,0.7343949450519708,2.4269010248168743,0.6891011076214241,0.00625,all,sell ATM r0.75,0.75,5
800,0.22488440302810175,0.21993929351750507,-0.058148100501647884,0.5719560357045561,2.6926333278555448,0.7629207830871103,0.025,all,sell ATM r1.0,1.0,5
800,0.10076838865106363,0.10152410813062165,0.027075859412810623,1.7062811609591673,6.8221264066604075,0.700682891763704,0.0,all,naked 1x,0.0,20
800,0.12475397144256173,0.12463512183300644,0.03832543893204191,2.1216312714293544,10.499067800543363,0.7394019816811979,0.0,all,sell ATM r0.25,0.25,20
800,0.14538302509543266,0.1463980445060734,0.04568188506545064,2.443383882490261,15.101318080893732,0.7818647531851058,0.0,all,sell ATM r0.5,0.5,20
800,0.16766346131600718,0.1674876604532993,0.05309625650748937,2.3278660954006596,21.73979230203011,0.8402818533530876,0.0125,all,sell ATM r0.75,0.75,20
800,0.19148190365879725,0.19033848633141132,0.05969957837297967,0.0,28.567559843795127,1.0,0.0725,all,sell ATM r1.0,1.0,20
