cond,ratio,window_years,cagr_median,tw_median,tw_p5,mdd_p95,p_ruin
"marked,mtmOFF",0.5,5,0.1706928682793437,2.1987106318541407,0.9576081115623888,0.5342070855934711,0.0
"marked,mtmOFF",0.5,10,0.16514379463303563,4.610037060417234,1.5060080167956786,0.590271131023477,0.0
"marked,mtmOFF",0.5,20,0.16346399398245737,20.656649578954237,4.442501778860359,0.6246278262340241,0.0
"marked,mtmOFF",1.0,5,0.2217199359026193,2.72144019253511,0.9105650715989339,0.630734002174875,0.0
"marked,mtmOFF",1.0,10,0.21378898804581936,6.939331557116017,1.6137776996396056,0.6883491205857105,0.0
"marked,mtmOFF",1.0,20,0.2118689619054599,46.67811719127903,6.736656448974591,0.714482146426745,0.0
"FAIR,mtmOFF",0.5,5,0.14423138618965925,1.9612331765222775,0.8631417116568606,0.5479036774843352,0.0
"FAIR,mtmOFF",0.5,10,0.13948165592084183,3.6897398971675637,1.2090320707837874,0.6228152593427192,0.0
"FAIR,mtmOFF",0.5,20,0.13763602470115932,13.184670845944225,2.8047452432381133,0.6532502335308171,0.0
"FAIR,mtmOFF",1.0,5,0.16996236626650785,2.1918599530361087,0.7295962284526931,0.6495120911831769,0.0
"FAIR,mtmOFF",1.0,10,0.15987827325248083,4.405914759458751,1.0295614681132659,0.7296326311256668,0.0
"FAIR,mtmOFF",1.0,20,0.1577248273698938,18.711428676265086,2.7479027892646237,0.7591049419109452,0.0
"marked,mtmON",0.5,5,0.1706928682793437,2.1987106318541407,0.9576081115623888,0.5342070855934711,0.0
"marked,mtmON",0.5,10,0.16514379463303563,4.610037060417234,1.5060080167956786,0.590271131023477,0.0
"marked,mtmON",0.5,20,0.16346399398245737,20.656649578954237,4.442501778860359,0.6246278262340241,0.0
"marked,mtmON",1.0,5,0.2217199359026193,2.72144019253511,0.9105650715989339,0.630734002174875,0.0
"marked,mtmON",1.0,10,0.21378898804581936,6.939331557116017,1.6137776996396056,0.6883491205857105,0.0
"marked,mtmON",1.0,20,0.2118689619054599,46.67811719127903,6.736656448974591,0.714482146426745,0.0
