leverage,protection,moneyness,rebalance,vrp_mode,window_years,start,end,terminal_wealth,cagr,max_drawdown,ruined,log_terminal
1.0,none,0.0,monthly,none,5,1988-01-05,1993-01-05,1.9924957148150872,0.14777007668615139,0.19215493542455353,False,0.6893879810224987
1.0,none,0.0,monthly,none,5,1988-02-05,1993-02-05,2.1173768697969884,0.1618040452256957,0.19215493542455364,False,0.7501779969971583
1.0,none,0.0,monthly,none,5,1988-03-07,1993-03-08,2.0152141218334574,0.15037452114009775,0.19215493542455353,False,0.7007254536902338
1.0,none,0.0,monthly,none,5,1988-04-05,1993-04-05,2.026112348472235,0.15170460100594307,0.19215493542455353,False,0.7061188576316747
1.0,none,0.0,monthly,none,5,1988-05-05,1993-05-05,2.0319364615025752,0.15236605258656866,0.19215493542455353,False,0.7089892602817688
1.0,none,0.0,monthly,none,5,1988-06-06,1993-06-07,1.9777946977424798,0.1460720589755442,0.19215493542455364,False,0.6819824349635585
1.0,none,0.0,monthly,none,5,1988-07-05,1993-07-06,1.8879345406667416,0.13546755045685566,0.1919997801509734,False,0.6354833958652245
1.0,none,0.0,monthly,none,5,1988-08-05,1993-08-05,1.9481035508039233,0.14269502826269753,0.19048700928932094,False,0.6668563613044142
1.0,none,0.0,monthly,none,5,1988-09-06,1993-09-07,2.028994726136987,0.15194290794452758,0.191931890199324,False,0.7075404615978093
1.0,none,0.0,monthly,none,5,1988-10-05,1993-10-05,1.9873305003649657,0.14726088498103684,0.19299026859752577,False,0.6867922810743248
1.0,none,0.0,monthly,none,5,1988-11-07,1993-11-08,1.9708799790492852,0.14526989127346868,0.19215493542455353,False,0.6784801328864092
1.0,none,0.0,monthly,none,5,1988-12-05,1993-12-06,1.989369686750574,0.1474098509005417,0.19215493542455353,False,0.6878178482372443
1.0,none,0.0,monthly,none,5,1989-01-05,1994-01-05,1.9488195176150314,0.14277902004731025,0.19215493542455353,False,0.6672238136798364
1.0,none,0.0,monthly,none,5,1989-02-06,1994-02-07,1.8694240332808014,0.13323311440961638,0.19215493542455353,False,0.6256303798304923
1.0,none,0.0,monthly,none,5,1989-03-06,1994-03-07,1.8541953568715452,0.1313815228718933,0.19215493542455353,False,0.6174508320734609
1.0,none,0.0,monthly,none,5,1989-04-05,1994-04-05,1.7700104318678656,0.12099055991428886,0.19215493542455364,False,0.5709854402790284
1.0,none,0.0,monthly,none,5,1989-05-05,1994-05-05,1.7197149418072646,0.11454533967054115,0.19215493542455375,False,0.5421585455829735
1.0,none,0.0,monthly,none,5,1989-06-05,1994-06-06,1.6667601868694373,0.10753231689219445,0.19215493542455342,False,0.5108817343134269
1.0,none,0.0,monthly,none,5,1989-07-05,1994-07-05,1.628930297088721,0.10251955862804762,0.1919997801509732,False,0.4879235399314043
1.0,none,0.0,monthly,none,5,1989-08-07,1994-08-08,1.5389925993679336,0.09001364316970273,0.19044499657767355,False,0.4311280461173918
1.0,none,0.0,monthly,none,5,1989-09-05,1994-09-06,1.5647751439707995,0.09364009240991855,0.19243032398037851,False,0.4477421356955177
1.0,none,0.0,monthly,none,5,1989-10-05,1994-10-05,1.4816227322238673,0.0818130142528577,0.192990268597526,False,0.3931379278157434
1.0,none,0.0,monthly,none,5,1989-11-06,1994-11-07,1.6241220200516608,0.10180931259559833,0.19215493542455342,False,0.4849673744167471
1.0,none,0.0,monthly,none,5,1989-12-05,1994-12-05,1.5115732161717133,0.08615236148855532,0.19215493542455364,False,0.4131509734765397
1.0,none,0.0,monthly,none,5,1990-01-05,1995-01-05,1.5165426676350897,0.08686568924213689,0.19215493542455353,False,0.4164331833491768
1.0,none,0.0,monthly,none,5,1990-02-05,1995-02-06,1.6905189167095884,0.11067062577863629,0.19215493542455364,False,0.5250355331118256
1.0,none,0.0,monthly,none,5,1990-03-05,1995-03-06,1.6922655033983425,0.11089993823733457,0.19215493542455353,False,0.5260681657759558
1.0,none,0.0,monthly,none,5,1990-04-05,1995-04-05,1.7239537771732305,0.11509431082409516,0.19215493542455353,False,0.5446203604976327
1.0,none,0.0,monthly,none,5,1990-05-07,1995-05-08,1.7889529672763682,0.12330850146389194,0.19215493542455364,False,0.5816305142292726
1.0,none,0.0,monthly,none,5,1990-06-05,1995-06-05,1.698345210189386,0.11176114753745647,0.19215493542455364,False,0.5296543712241587
1.0,none,0.0,monthly,none,5,1990-07-05,1995-07-05,1.78771084935757,0.12322397193838741,0.1919997801509734,False,0.5809359463121219
1.0,none,0.0,monthly,none,5,1990-08-06,1995-08-07,1.949052114655494,0.14272280694226347,0.12458730060356027,False,0.6673431593446926
1.0,none,0.0,monthly,none,5,1990-09-05,1995-09-05,2.0353402261450193,0.1527519203615424,0.08597181594064607,False,0.7106629922151698
1.0,none,0.0,monthly,none,5,1990-10-05,1995-10-05,2.1610057584199027,0.16664936357079552,0.08510490308066265,False,0.7705737422226807
1.0,none,0.0,monthly,none,5,1990-11-05,1995-11-06,2.163638304597848,0.16683490712811744,0.08510490308066265,False,0.7717912049616951
1.0,none,0.0,monthly,none,5,1990-12-05,1995-12-05,2.160347915163862,0.16657831600718342,0.08510490308066254,False,0.7702692805605196
1.0,none,0.0,monthly,none,5,1991-01-07,1996-01-08,2.2529192309754,0.17630559682517122,0.08510490308066243,False,0.8122268112626236
1.0,none,0.0,monthly,none,5,1991-02-05,1996-02-05,2.1034190401226573,0.1603633484455771,0.08496351946981406,False,0.7435641351321649
1.0,none,0.0,monthly,none,5,1991-03-05,1996-03-05,2.003995712878162,0.14909139213177292,0.0851178822856864,False,0.6951430439379758
1.0,none,0.0,monthly,none,5,1991-04-05,1996-04-08,1.9769680365044,0.1457203268419347,0.08510490308066254,False,0.6815643763817067
1.0,none,0.0,monthly,none,5,1991-05-06,1996-05-06,1.939754007337964,0.14163087874543923,0.08510490308066232,False,0.6625611646941382
1.0,none,0.0,monthly,none,5,1991-06-05,1996-06-05,2.0243369792775825,0.15141376039517862,0.08510490308066254,False,0.7052422293049438
1.0,none,0.0,monthly,none,5,1991-07-05,1996-07-05,2.0197969953935804,0.1508970531128948,0.08510490308066254,False,0.7029970090330077
1.0,none,0.0,monthly,none,5,1991-08-05,1996-08-05,1.9699559386741186,0.1451625240403709,0.08510490308066254,False,0.6780111763445011
1.0,none,0.0,monthly,none,5,1991-09-05,1996-09-05,1.9162043936008997,0.1388464630641455,0.08510490308066265,False,0.6503463511037846
1.0,none,0.0,monthly,none,5,1991-10-07,1996-10-07,2.1163568973820097,0.16169213789655368,0.08510490308066243,False,0.7496961658330833
1.0,none,0.0,monthly,none,5,1991-11-05,1996-11-05,2.1021161706860245,0.16012517693240014,0.08510490308066254,False,0.742944537666917
