window_years,leverage,protection,rebalance,vrp_mode,n,cagr_median,cagr_p5,cagr_p25,cagr_p75,cagr_p95,cagr_mean,mdd_median,mdd_p95,p_ruin,tw_p5,tw_median,median_logwealth
20,1.0,put15,daily,fair,221,0.081531413456944,0.053825531733519,0.0704122365646697,0.0897304776357208,0.0991289771112871,0.0794235387343234,0.5541879140097131,0.5698057862453729,0.0,2.85347667006767,4.79493543716437,1.5675602436283544
20,1.0,put20,daily,fair,221,0.083031043959457,0.0558855377201978,0.0728032047696844,0.0930880515487406,0.1042749297100877,0.08221513630540128,0.5566132940646955,0.5633049523351995,0.0,2.9671317397033823,4.929672953445901,1.5952726478107055
20,1.0,put25,daily,fair,221,0.0843523170957154,0.0569189265662661,0.0742183496861461,0.0955315155651834,0.1059380252377593,0.08380585277844055,0.5543716865743218,0.5590044681153747,0.0,3.026211816797655,5.053599479726365,1.620100757651257
20,2.0,put15,daily,fair,221,0.1102698696193653,0.063630637812011,0.0894332236921748,0.1339931720849079,0.1580998247676641,0.11131367793310222,0.8499292724305834,0.8900063195522,0.0,3.4347103802830548,8.10624706135061,2.09263500656605
20,2.0,put20,daily,fair,221,0.1128544171538605,0.0647060249882305,0.0893297977389671,0.1396669623091155,0.1683627914519303,0.11424374209811562,0.8485503757587969,0.8881911267804466,0.0,3.504243153007046,8.487251641733872,2.138565230805299
20,2.0,put25,daily,fair,221,0.1124710279586833,0.0625015023707964,0.0894932626738873,0.1419970001851078,0.1726556784365052,0.1149029704189023,0.8462126046791352,0.8825902548784728,0.0,3.363064750315955,8.42896382012167,2.131673848696449
20,3.0,put15,daily,fair,221,0.1185397962326839,0.0498188124511393,0.0861423152844269,0.1634765571694518,0.1975566041845431,0.12153946121525559,0.9610145448178196,0.9826190701446064,0.0,2.6445076435728656,9.397856452935898,2.240481626349873
20,3.0,put20,daily,fair,221,0.1177613779212718,0.0430495706884825,0.0848056912634445,0.1594238100967975,0.2106619792132975,0.12182322637049581,0.9674883080244392,0.9830318466379268,0.0,2.323802452212248,9.270739102474945,2.2268631069792715
20,3.0,put25,daily,fair,221,0.1162732108029824,0.0331118901924913,0.0772316778513293,0.162277109610808,0.2115864207698357,0.11895674328189654,0.9693813264726178,0.9817224465275238,0.0,1.918777711246641,9.024227733820307,2.199912930897853
20,1.0,put15,daily,marked_up,221,0.0700614977718161,0.0417974792887643,0.0581634640255772,0.078519834414132,0.0888871660538881,0.06774758462561059,0.5613432083142286,0.5867802773248574,0.0,2.2681200919500246,3.8741350597625273,1.354322427506301
20,1.0,put20,daily,marked_up,221,0.074724429064946,0.045982388697535,0.0629552217582352,0.0846407059015557,0.0959986132761721,0.0731375717262509,0.5598149075752508,0.5727504103084234,0.0,2.457465597196546,4.226125742448668,1.4412856732350396
20,1.0,put25,daily,marked_up,221,0.0779119281333042,0.0495142173773164,0.0664248285218307,0.0891834460384557,0.1003949469173353,0.07710311850466559,0.5567887071166125,0.5636291116660923,0.0,2.629550098635257,4.484920663033245,1.500720805952571
20,2.0,put15,daily,marked_up,221,0.0867619853956018,0.0408469821209531,0.0651446297458226,0.1098404042414784,0.1321887783080435,0.08666157946213209,0.8629650144062221,0.9081717066661326,0.0,2.227089891396446,5.280666863809725,1.6640523897069643
20,2.0,put20,daily,marked_up,221,0.0930179291491724,0.0454369888811458,0.0706015279590979,0.1197138818350231,0.1485901185195319,0.09515675726117964,0.8627905884027111,0.9022349814521812,0.0,2.4322604225931377,5.923054350677236,1.778852253460263
20,2.0,put25,daily,marked_up,221,0.0981295616340443,0.0497378821830409,0.0738610343073964,0.1281670283320397,0.1568153404101018,0.10085370300833936,0.8651460073564683,0.8950622015098857,0.0,2.640432782316469,6.502369698269951,1.8721666794270813
20,3.0,put15,daily,marked_up,221,0.0805539270594373,0.0142295447354654,0.0478511027845949,0.1227831037834001,0.1566777193042037,0.08282422669902118,0.9679307872260942,0.986807555018288,0.0,1.3265546608562206,4.710001437504055,1.5496882132308394
20,3.0,put20,daily,marked_up,221,0.0874685004339106,0.0138303106657291,0.0525124576228428,0.1280965668050813,0.1798147172561981,0.09218809858068423,0.9730441060755932,0.9861896230816288,0.0,1.316249106145035,5.352209788599325,1.6775095202264818
20,3.0,put25,daily,marked_up,221,0.0958612712655611,0.0134481138318529,0.0549796673184999,0.1402476305410078,0.1924935481945657,0.09733751558030057,0.9733018220863856,0.9846102167384864,0.0,1.3062622455681867,6.238951029702573,1.830812064035908
